SMILES,PID,Polymer Class,Tg
*CC(*)c1ccc(C)c(C)c1,P020144,"Polystyrenes, Polyvinyls",111
*CC(*)c1ccc(Cl)c(C)c1,P020145,"Polystyrenes, Polyvinyls",114
*CC(*)c1ccc(Cl)c(Cl)c1,P020146,"Polystyrenes, Polyvinyls",128
*CC(*)c1ccc(Cl)c(F)c1,P020147,"Polystyrenes, Polyvinyls",122
*CC(*)c1c(C)cc(C)cc1C,P020148,"Polystyrenes, Polyvinyls",126
*CC(*)c1cc(C)c(C)cc1C,P020149,"Polystyrenes, Polyvinyls",104
*CC(*)(C)c1ccccc1,P020151,"Polystyrenes, Polyvinyls",168
*CC(*)(C)c1ccc(C(C)C)cc1,P020152,"Polystyrenes, Polyvinyls",140
*C(F)(F)C(*)(F)c1ccccc1,P020153,Other polymers,206
*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F,P020154,Other polymers,194
*CC(*)c1cccc2ccccc12,P020156,"Polystyrenes, Polyvinyls",160
*CC(*)c1ccc(C(C)=O)cc1,P020157,"Polystyrenes, Polyvinyls",115.5
*CC(*)c1ccc(C(=O)CCN2CCOCC2)cc1,P020158,"Polystyrenes, Polyvinyls",41
*CC(*)(C(=O)OC)c1ccccc1,P020177,"Polystyrenes, Polyacrylics, Polyvinyls",121
*CC(*)(C)c1ccc(C)cc1,P020181,"Polystyrenes, Polyvinyls",176
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,P020185,"Polystyrenes, Polyvinyls",95
*CC(*)c1ccc(C(=O)c2ccc(OC)cc2)cc1,P020186,"Polystyrenes, Polyvinyls",103
*CC(*)c1ccc(B(O[Si](C)(C)C)O[Si](C)(C)C)cc1,P020187,"Polystyrenes, Polyvinyls",84
*CC(*)c1cccc(B(O[Si](C)(C)C)O[Si](C)(C)C)c1,P020188,"Polystyrenes, Polyvinyls",35
*CC(*)c1ccc2ccccc2c1,P020189,"Polystyrenes, Polyvinyls",146.5
*CC(*)c1ccncc1,P020190,"Polystyrenes, Polyvinyls",150
*CC(*)c1cccc(C)n1,P020191,"Polystyrenes, Polyvinyls",92
*CC(*)c1ccc(C)nc1,P020192,"Polystyrenes, Polyvinyls",136
*CC(*)n1cc2ccccc2n1,P020193,Polyvinyls,41.5
*CC(c1ccccn1)C(c1ccccc1)C(*)c1ccccn1,P020194,"Polystyrenes, Polyvinyls",150
*CC(*)c1ccc(O)cc1,P020195,"Polystyrenes, Polyvinyls",158
*CC(*)c1ccc(OC(C)=O)cc1,P020198,"Polystyrenes, Polyvinyls",113
*CC(*)c1ccc(CCC)cc1,P024305,"Polystyrenes, Polyvinyls",46.75
*CC(*)c1ccc(COCC(CC)CCCC)cc1,P024504,"Polystyrenes, Polyvinyls",-23
*CC(*)c1ccc(COCCOCCCCCCCC)cc1,P024505,"Polystyrenes, Polyvinyls",-42
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],P029029,"Polystyrenes, Polyvinyls",97
*CC(*)O,P030001,Polyvinyls,76.5
*CC(*)C(C)=O,P030006,Polyvinyls,115
*CC(*)C#N,P030010,Polyvinyls,95
*CC(*)(C)C#N,P030011,Polyvinyls,88.5
*CC(*)c1ccccn1,P030014,"Polystyrenes, Polyvinyls",100
*CC(*)n1c2ccccc2c2ccccc21,P030015,Polyvinyls,225
*CC(*)C[Si](C)(C)C,P030017,Polyvinyls,114
*CC(*)OC,P030018,Polyvinyls,-25.8
*CC(*)OCC,P030019,Polyvinyls,-33
*CC(*)OCCCC,P030020,Polyvinyls,-51
*CC(*)OCCCCC,P030021,Polyvinyls,-66
*CC(*)OCCCCCC,P030022,Polyvinyls,-74
*CC(*)OCCCCCCCCCC,P030023,Polyvinyls,-62
*CC(*)OC(C)=O,P030024,Polyvinyls,32
*CC(*)OC(=O)CC,P030025,Polyvinyls,11.9
*CC(*)OC(=O)c1ccccc1,P030026,Polyvinyls,70.4
*CC(*)OCC(C)C,P030027,Polyvinyls,-22
*CC(*)O[N+](=O)[O-],P030035,Polyvinyls,37.5
*/C=C/C(C)C(*)C(=O)OC,P030036,Polyvinyls,53
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,P030037,Polyvinyls,-73
*CC(*)CC[Si](C)(C)C,P030038,Polyvinyls,132
*CC(*)OC=O,P030040,Polyvinyls,37
*CC(*)OC(C)C,P030045,Polyvinyls,-7.5
*CC(*)(C)OC,P030046,Polyvinyls,67
*CC(*)OC(C)CC,P030048,Polyvinyls,-26
*CC(*)OC(=O)C(F)(F)F,P030049,Polyvinyls,55
*C1CC(*)(C#N)C1,P030062,Polyvinyls,220
*CC(*)Cc1cccc(C)c1,P030067,Polyvinyls,40
*CC(*)Cc1ccccc1C,P030068,Polyvinyls,80
*CC(*)Cc1ccc(C)cc1,P030069,Polyvinyls,65
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,P030071,Polyvinyls,121
*/C=C/C(C*)OC,P030077,Polyvinyls,-10.5
*CC/C=C(/*)c1ccccc1,P030078,Polyvinyls,39.5
*C(*)O,P030079,Polyvinyls,134
*CC(*)OCC(CC)CCCC,P030080,Polyvinyls,-66
*CC(*)SCCCC,P030081,Polyvinyls,-20
*CC(*)SCC,P030083,Polyvinyls,-7
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P030084,Other polymers,-10
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,P030085,Other polymers,29
*C(F)(F)C(*)(OC(F)(F)F)OC(F)(F)F,P030086,Other polymers,-60
*C(OC(F)(F)F)C(*)(F)F,P030087,Other polymers,-10
*C(F)C(*)(F)OC(F)(F)F,P030088,Other polymers,-10
*C(F)(F)C(*)(F)OC(F)(F)F,P030089,Other polymers,-5
*CC(*)OCC(C)(C)CC,P030091,Polyvinyls,9
*CC(*)SC,P030092,Polyvinyls,-1
*CC(*)OCCCCCCCC,P030093,Polyvinyls,-79.5
*CC(*)(F)C(C)=O,P030095,Other polymers,142
*CC(*)C(=O)c1ccccc1,P030096,Polyvinyls,72.75
*CC(*)C(=O)c1ccc(Br)c(OC)c1,P030097,Polyvinyls,44
*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,P030098,Polyvinyls,103.5
*CC(*)C(=O)c1ccc(Cl)cc1,P030099,Polyvinyls,63
*CC(*)C(=O)c1ccc(CC)cc1,P030100,Polyvinyls,49.25
*CC(*)C(=O)c1ccc(C(C)C)cc1,P030101,Polyvinyls,62.5
*CC(*)C(=O)c1ccc(OC)cc1,P030102,Polyvinyls,46
*CC(*)C(=O)c1ccc(C)c(C)c1,P030103,Polyvinyls,42
*CC(*)C(=O)c1ccc(CCC)cc1,P030104,Polyvinyls,44
*CC(*)C(=O)c1ccc(C)cc1,P030105,Polyvinyls,59.5
*CC(*)OC(=O)c1ccccc1OC(C)=O,P030107,Polyvinyls,59.5
*CC(*)OC(=O)c1ccc(OC(C)=O)cc1,P030108,Polyvinyls,76
*CC(*)OC(=O)CCCC(=O)c1ccccc1,P030109,Polyvinyls,45
*CC(*)OC(=O)c1cccc(Br)c1,P030110,Polyvinyls,57.5
*CC(*)OC(=O)c1ccc(Br)cc1,P030111,Polyvinyls,85.5
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,P030112,Polyvinyls,61
*CC(*)OC(=O)c1ccccc1Cl,P030113,Polyvinyls,55.75
*CC(*)OC(=O)c1cccc(Cl)c1,P030114,Polyvinyls,61.75
*CC(*)OC(=O)c1ccc(Cl)cc1,P030115,Polyvinyls,70.25
*CC(*)OC(=O)C1CCCCC1,P030116,Polyvinyls,66
*CC(*)OC(=O)CC1CCCCC1,P030117,Polyvinyls,25
*CC(*)OC(=O)CCCC1CCCCC1,P030118,Polyvinyls,-10
*CC(*)OC(=O)c1ccc(OCC)cc1,P030120,Polyvinyls,70
*CC(*)OC(=O)c1ccc(CC)cc1,P030121,Polyvinyls,57
*CC(*)OC(=O)C(C)(CC)C(C)(C)C,P030122,Polyvinyls,120
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,P030123,Polyvinyls,27
*CC(*)OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,P030124,Polyvinyls,54
*CC(*)NC(=O)OC(C)(C)C,P030125,Polyvinyls,120
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P030126,Polyvinyls,-18
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P030127,Polyvinyls,-9
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P030128,Polyvinyls,-10
*CC(*)OC(=O)C(F)(F)C(F)(F)F,P030129,Polyvinyls,42
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P030130,Polyvinyls,20
*CC(*)OC(=O)c1ccncc1,P030131,Polyvinyls,98.5
*CC(*)OC(=O)c1ccc(C(C)C)cc1,P030132,Polyvinyls,67.7
*CC(*)OC(=O)C(C)(C(C)C)C(C)C,P030133,Polyvinyls,120
*CC(*)OC(=O)c1ccccc1OC,P030134,Polyvinyls,65
*CC(*)OC(=O)c1cccc(OC)c1,P030135,Polyvinyls,44
*CC(*)OC(=O)c1ccc(OC)cc1,P030136,Polyvinyls,86.5
*CC(*)OC(=O)c1ccccc1C,P030137,Polyvinyls,42.5
*CC(*)OC(=O)c1cccc(C)c1,P030138,Polyvinyls,49
*CC(*)OC(=O)c1ccc(C)cc1,P030139,Polyvinyls,73.5
*CC(*)OC(=O)CC(C)(C)c1ccccc1,P030140,Polyvinyls,20
*CC(*)OC(=O)c1cccc([Si](C)(C)C)c1,P030141,Polyvinyls,80
*CC(*)OC(=O)c1ccc([Si](C)(C)C)cc1,P030142,Polyvinyls,130.5
*CC(*)OC(=O)C(C)(C)CCC,P030143,Polyvinyls,10
*CC(*)OC(=O)C(C)(C)C(C)(C)CC,P030144,Polyvinyls,90
*CC(*)OC(=O)C(C)(C)C(C)C(C)C,P030145,Polyvinyls,55
*CC(*)OC(=O)C(C)(C)CC(C)(C)C,P030146,Polyvinyls,55
*CC(*)OC(=O)c1cccnc1,P030147,Polyvinyls,86.5
*CC(*)OC(=O)c1cccc([N+](=O)[O-])c1,P030148,Polyvinyls,93
*CC(*)OC(F)(C(F)(F)F)C(F)(F)F,P030163,Polyvinyls,65
*CC(*)OC(=O)CCl,P030166,Polyvinyls,20.45
*CC(*)c1cccs1,P030168,"Polystyrenes, Polyvinyls",71
*CC(*)(CC(=O)OCCCCCCC)C(=O)OCCCCCCC,P030177,"Polyacrylics, Polyvinyls",-23
*CC(*)OC(=O)C1CCCC1,P030178,Polyvinyls,36
*CC(*)OC(=O)C1(C)CCCCC1,P030179,Polyvinyls,86
*CC(*)P(=O)(c1ccccc1)c1ccccc1,P030180,Polyvinyls,127.5
*CC(*)P(=O)(OCC)N(C)C,P030181,Polyvinyls,32
*CC(*)P(=O)(Oc1ccccc1)N(C)C,P030182,Polyvinyls,27
*CC(*)c1nc(C)nc(C)n1,P030183,"Polystyrenes, Polyvinyls",70
*C1Cc2ccccc2C1*,P030187,Polydienes,188.5
*CC(OC)C1C(=O)OC(=O)C1*,P030191,Polyanhydrides/thioanhydrides,153.5
*CC(OC)C(C(=O)O)C(*)C(=O)O,P030192,Polyvinyls,144
*CCC/C=C(/*)c1ccc(OC)cc1,P030195,Polyvinyls,11
*CCC/C=C(/*)c1ccccc1,P030196,Polyvinyls,0
*CCC/C=C(/*)c1ccc(Cl)cc1,P030197,Polyvinyls,16
*/C(C)=C(/*)[Si](C)(C)C,P030198,Polyvinyls,75
*/C(C)=C(/*)c1ccc([Si](C)(C)C)cc1,P030205,Polyvinyls,-5
*CC(*)CNc1ccc([N+](=O)[O-])cc1,P034237,Polyvinyls,144
*CC(*)CNc1ccc([N+](=O)[O-])cn1,P034238,Polyvinyls,151
*CC(*)CNc1ccc([N+](=O)[O-])cc1C,P034239,Polyvinyls,151
*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,P034240,Polyvinyls,153
*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],P034241,Polyvinyls,160
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,P034359,Polyvinyls,14.5
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,P034360,Polyvinyls,30.5
*CCC1CC(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1*,P034361,Polyvinyls,24
*CC(*)n1ccnc1,P034424,Polyvinyls,175
*CC/C=C(/*)[Sn](CCCC)(CCCC)CCCC,P034524,Polyvinyls,-80
*C(F)(F)C(*)(F)OC(F)C(F)F,P034596,Other polymers,35
*CC(*)C(=O)c1ccc(Br)cc1,P034597,Polyvinyls,101.5
*CC(*)OC(=O)CC1CCCC1,P034603,Polyvinyls,-3
*CC(*)N1CCCC1=O,P039005,Polyvinyls,158
*CCC1CC2C(CC(*)C2OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,P039028,Polyvinyls,23.5
*CC(*)C(=O)O,P040001,"Polyacrylics, Polyvinyls",115
*CC(*)C(=O)OC,P040002,"Polyacrylics, Polyvinyls",10
*CC(*)C(=O)OCC,P040003,"Polyacrylics, Polyvinyls",-20
*CC(*)C(=O)OCCC,P040004,"Polyacrylics, Polyvinyls",-38.5
*CC(*)C(=O)OC(C)C,P040005,"Polyacrylics, Polyvinyls",-5
*CC(*)C(=O)OCCCC,P040006,"Polyacrylics, Polyvinyls",-49
*CC(*)C(=O)OCC(C)C,P040007,"Polyacrylics, Polyvinyls",25
*CC(*)C(=O)OC(C)CC,P040008,"Polyacrylics, Polyvinyls",-20
*CC(*)C(=O)OC(C)(C)C,P040010,"Polyacrylics, Polyvinyls",40
*CC(*)C(=O)OCCCCCC,P040011,"Polyacrylics, Polyvinyls",-57
